Country,Freedom2015,Freedom2016,Freedom2017,Freedom2018,Freedom2019,GDP2015,GDP2016,GDP2017,GDP2018,GDP2019,Generosity2015,Generosity2016,Generosity2017,Generosity2018,Generosity2019,Government_Corruption2015,Government_Corruption2016,Government_Corruption2017,Government_Corruption2018,Government_Corruption2019,Happiness_Score2015,Happiness_Score2016,Happiness_Score2017,Happiness_Score2018,Happiness_Score2019,Life_Expectancy2015,Life_Expectancy2016,Life_Expectancy2017,Life_Expectancy2018,Life_Expectancy2019,Social_Support2015,Social_Support2016,Social_Support2017,Social_Support2018,Social_Support2019,Happiness2015,Happiness2016,Happiness2017,Happiness2018,Happiness2019
Bangladesh,0.478356659,0.58,0.527,0.37938,0.29091,0.586682975,0.532,0.562,1.03192,1.13062,0.172255352,0.153,0.166,0.11046,0.13942,0.123717859,0.144,0.143,0.1909,0.17457,4.607999802,4.5,4.456,5.813,5.802,0.533241034,0.579,0.723,0.73608,0.63104,0.735131741,0.85,0.928,1.23289,1.04993,Happy,Happy,Happy,Happy,Happy
Bangladesh,0.58,0.527,0.37938,0.29091,0.295400262,0.532,0.562,1.03192,1.13062,1.15655756,0.153,0.166,0.11046,0.13942,0.155137509,0.144,0.143,0.1909,0.17457,0.156313822,4.5,4.456,5.813,5.802,5.568999767,0.579,0.723,0.73608,0.63104,0.637714267,0.85,0.928,1.23289,1.04993,1.444945216,Happy,Happy,Happy,Happy,Happy
Bangladesh,0.527,0.37938,0.29091,0.295400262,0.307,0.562,1.03192,1.13062,1.15655756,1.039,0.166,0.11046,0.13942,0.155137509,0.101,0.143,0.1909,0.17457,0.156313822,0.154,4.456,5.813,5.802,5.568999767,5.483,0.723,0.73608,0.63104,0.637714267,0.7,0.928,1.23289,1.04993,1.444945216,1.498,Happy,Happy,Happy,Happy,Happy
Belarus,0.37938,0.29091,0.295400262,0.307,0.235,1.03192,1.13062,1.15655756,1.039,1.067,0.11046,0.13942,0.155137509,0.101,0.094,0.1909,0.17457,0.156313822,0.154,0.142,5.813,5.802,5.568999767,5.483,5.323,0.73608,0.63104,0.637714267,0.7,0.789,1.23289,1.04993,1.444945216,1.498,1.465,Happy,Happy,Happy,Happy,Happy
Belarus,0.29091,0.295400262,0.307,0.235,0.5845,1.13062,1.15655756,1.039,1.067,1.30782,0.13942,0.155137509,0.101,0.094,0.2225,0.17457,0.156313822,0.154,0.142,0.2254,5.802,5.568999767,5.483,5.323,6.937,0.63104,0.637714267,0.7,0.789,0.89667,1.04993,1.444945216,1.498,1.465,1.28566,Happy,Happy,Happy,Happy,Happy
Belarus,0.295400262,0.307,0.235,0.5845,0.51354,1.15655756,1.039,1.067,1.30782,1.42539,0.155137509,0.101,0.094,0.2225,0.2424,0.156313822,0.154,0.142,0.2254,0.26248,5.568999767,5.483,5.323,6.937,6.929,0.637714267,0.7,0.789,0.89667,0.81959,1.444945216,1.498,1.465,1.28566,1.05249,Happy,Happy,Happy,Happy,Happy
Belarus,0.307,0.235,0.5845,0.51354,0.539770722,1.039,1.067,1.30782,1.42539,1.463780761,0.101,0.094,0.2225,0.2424,0.231503338,0.154,0.142,0.2254,0.26248,0.251343131,5.483,5.323,6.937,6.929,6.890999794,0.7,0.789,0.89667,0.81959,0.818091869,1.498,1.465,1.28566,1.05249,1.462312698,Happy,Happy,Happy,Happy,Happy
Belarus,0.235,0.5845,0.51354,0.539770722,0.583,1.067,1.30782,1.42539,1.463780761,1.324,0.094,0.2225,0.2424,0.231503338,0.188,0.142,0.2254,0.26248,0.251343131,0.24,5.323,6.937,6.929,6.890999794,6.927,0.789,0.89667,0.81959,0.818091869,0.894,1.465,1.28566,1.05249,1.462312698,1.483,Happy,Happy,Happy,Happy,Happy
Belgium,0.5845,0.51354,0.539770722,0.583,0.473,1.30782,1.42539,1.463780761,1.324,1.356,0.2225,0.2424,0.231503338,0.188,0.16,0.2254,0.26248,0.251343131,0.24,0.21,6.937,6.929,6.890999794,6.927,6.923,0.89667,0.81959,0.818091869,0.894,0.986,1.28566,1.05249,1.462312698,1.483,1.504,Happy,Happy,Happy,Happy,Happy
Belgium,0.51354,0.539770722,0.583,0.473,0.51231,1.42539,1.463780761,1.324,1.356,0.87616,0.2424,0.231503338,0.188,0.16,0.23684,0.26248,0.251343131,0.24,0.21,0.10771,6.929,6.890999794,6.927,6.923,5.956,0.81959,0.818091869,0.894,0.986,0.45569,1.05249,1.462312698,1.483,1.504,0.68655,Happy,Happy,Happy,Happy,Happy
